t0,open,high,low,close,volume
2025-10-30T00:17:00+0000,99.97,100.33,98.99,100.05,1883
2025-10-30T00:18:00+0000,100.1,102.03,99.9,101.79,3480
2025-10-30T00:19:00+0000,101.58,102.95,101.12,101.36,3936
2025-10-30T00:20:00+0000,101.38,101.92,100.35,100.54,2859
2025-10-30T00:21:00+0000,100.39,100.91,99.15,100.08,2662
2025-10-30T00:22:00+0000,100.03,100.26,98.41,98.98,2608
2025-10-30T00:23:00+0000,98.81,99.73,97.17,99.01,3186
2025-10-30T00:24:00+0000,99.13,101.17,98.12,99.91,3419
2025-10-30T00:25:00+0000,99.96,101.71,99.4,101.29,3325
2025-10-30T00:26:00+0000,101.07,101.4,99.05,99.23,2881
2025-10-30T00:27:00+0000,99.22,99.84,97.49,98.52,2648
2025-10-30T00:28:00+0000,98.82,100.57,98.07,100.53,2669
2025-10-30T00:29:00+0000,100.28,100.43,98.06,98.28,3745
2025-10-30T00:30:00+0000,98.18,98.4,96.69,97.22,2959
2025-10-30T00:31:00+0000,97.24,97.24,95.16,96.83,3120
2025-10-30T00:32:00+0000,96.76,97.57,95.28,97.28,3375
2025-10-30T00:33:00+0000,97.28,98.99,96.77,98.69,3132
2025-10-30T00:34:00+0000,98.96,98.96,96.24,96.68,3250
2025-10-30T00:35:00+0000,96.77,98.0,95.83,97.63,2792
2025-10-30T00:36:00+0000,97.76,98.89,96.07,96.07,3116
2025-10-30T00:37:00+0000,96.18,96.9,95.5,96.78,3316
2025-10-30T00:38:00+0000,97.31,98.82,96.71,98.34,2880
2025-10-30T00:39:00+0000,98.25,98.33,97.4,98.0,3283
2025-10-30T00:40:00+0000,98.1,99.05,97.55,98.69,2456
2025-10-30T00:41:00+0000,98.75,99.6,97.94,98.49,4043
2025-10-30T00:42:00+0000,98.07,99.06,97.89,98.31,2633
2025-10-30T00:43:00+0000,98.35,98.35,95.98,96.44,3045
2025-10-30T00:44:00+0000,96.43,98.14,95.84,98.1,2941
2025-10-30T00:45:00+0000,98.21,98.95,97.28,98.38,2789
2025-10-30T00:46:00+0000,98.49,98.55,94.68,94.68,2678
2025-10-30T00:47:00+0000,94.46,94.48,93.37,93.86,2956
2025-10-30T00:48:00+0000,93.65,94.47,92.27,92.76,3327
2025-10-30T00:49:00+0000,92.83,93.93,92.63,92.92,2463
2025-10-30T00:50:00+0000,92.71,93.77,92.47,93.56,2451
2025-10-30T00:51:00+0000,93.56,93.72,91.39,92.3,3509
2025-10-30T00:52:00+0000,92.34,94.05,92.34,93.64,2786
2025-10-30T00:53:00+0000,93.29,93.61,91.54,93.08,1942
2025-10-30T00:54:00+0000,93.09,93.87,92.1,92.88,2875
2025-10-30T00:55:00+0000,93.27,94.35,92.48,94.05,2714
2025-10-30T00:56:00+0000,94.03,96.08,93.71,95.44,2609
2025-10-30T00:57:00+0000,95.39,95.88,94.39,95.48,3692
2025-10-30T00:58:00+0000,95.61,95.76,91.91,92.53,2597
2025-10-30T00:59:00+0000,92.8,93.25,92.14,92.43,3098
2025-10-30T01:00:00+0000,92.43,92.53,90.15,90.77,3658
2025-10-30T01:01:00+0000,91.04,93.59,90.41,93.22,2974
2025-10-30T01:02:00+0000,92.63,94.39,92.34,94.39,3165
2025-10-30T01:03:00+0000,93.94,94.29,90.5,91.39,2483
2025-10-30T01:04:00+0000,91.25,92.53,90.57,91.68,3056
2025-10-30T01:05:00+0000,91.6,92.79,91.59,91.91,2752
2025-10-30T01:06:00+0000,91.87,92.46,91.24,92.39,3211
2025-10-30T01:07:00+0000,92.17,92.17,89.34,89.91,2273
2025-10-30T01:08:00+0000,90.1,91.73,90.1,90.3,2788
2025-10-30T01:09:00+0000,90.49,91.19,89.15,91.19,2509
2025-10-30T01:10:00+0000,91.1,91.65,90.28,90.86,3532
2025-10-30T01:11:00+0000,90.82,90.83,89.14,89.58,3344
2025-10-30T01:12:00+0000,89.5,91.3,89.38,90.24,2431
2025-10-30T01:13:00+0000,89.88,91.41,88.13,88.33,2600
2025-10-30T01:14:00+0000,88.4,89.76,87.29,88.89,2617
2025-10-30T01:15:00+0000,88.67,89.09,87.23,88.99,2848
2025-10-30T01:16:00+0000,89.28,89.28,86.69,87.79,2629
2025-10-30T01:17:00+0000,87.95,88.58,86.47,87.11,2633
2025-10-30T01:18:00+0000,87.07,88.94,86.82,88.65,2429
2025-10-30T01:19:00+0000,88.56,90.17,88.05,88.17,2626
2025-10-30T01:20:00+0000,88.2,89.72,88.2,89.35,2898
2025-10-30T01:21:00+0000,89.08,89.51,87.69,88.32,2697
2025-10-30T01:22:00+0000,88.38,89.84,88.04,88.85,3192
2025-10-30T01:23:00+0000,88.59,88.83,85.37,86.1,2655
2025-10-30T01:24:00+0000,85.85,88.23,85.85,87.33,3243
2025-10-30T01:25:00+0000,87.31,89.44,86.67,88.77,3670
2025-10-30T01:26:00+0000,88.73,90.63,88.73,90.22,2905
2025-10-30T01:27:00+0000,90.39,91.66,88.91,89.26,3523
2025-10-30T01:28:00+0000,89.14,91.31,88.98,91.31,2346
2025-10-30T01:29:00+0000,91.33,92.36,89.37,89.37,3100
2025-10-30T01:30:00+0000,89.42,89.42,88.19,88.19,2516
2025-10-30T01:31:00+0000,88.3,88.82,87.0,88.82,3240
2025-10-30T01:32:00+0000,88.58,88.91,86.73,86.98,2493
2025-10-30T01:33:00+0000,87.32,90.26,86.93,89.71,3302
2025-10-30T01:34:00+0000,89.92,91.56,88.96,89.57,2803
2025-10-30T01:35:00+0000,89.58,89.6,88.63,89.02,3271
2025-10-30T01:36:00+0000,88.98,89.21,87.63,89.21,2844
2025-10-30T01:37:00+0000,89.08,89.52,87.66,87.79,2929
2025-10-30T01:38:00+0000,87.99,89.51,87.81,87.83,2379
2025-10-30T01:39:00+0000,87.93,88.36,86.2,86.37,3387
2025-10-30T01:40:00+0000,86.41,87.88,86.03,86.95,1500
